Utterance,Speaker,Dialogue_ID,Start_Time,End_Time,Wav_Path,Video_Path,Emotion
Excuse me.,Ses01F_impro01_F000,Ses01F_impro01,6.2901,8.2357,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,neu
Do you have your forms?,Ses01F_impro01_M000,Ses01F_impro01,7.5712,10.475,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M000.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru
Yeah.,Ses01F_impro01_F001,Ses01F_impro01,10.01,11.3925,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,neu
Let me see them.,Ses01F_impro01_M001,Ses01F_impro01,10.9266,14.6649,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M001.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru
Is there a problem?,Ses01F_impro01_F002,Ses01F_impro01,14.8872,18.0175,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,neu
Who told you to get in this line?,Ses01F_impro01_M002,Ses01F_impro01,16.8352,19.7175,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M002.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru
Okay. But I didn't tell you to get in this line if you are filling out this particular form.,Ses01F_impro01_M003,Ses01F_impro01,23.47,28.03,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M003.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru
Well what's the problem?  Let me change it.,Ses01F_impro01_F005,Ses01F_impro01,27.46,31.49,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,neu
This form is a Z.X.four.,Ses01F_impro01_M004,Ses01F_impro01,28.395,31.2117,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M004.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru
"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",Ses01F_impro01_M005,Ses01F_impro01,31.266,39.3875,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M005.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru
